No    | English            | Vietnamese
4243  | ox                 | ox
4244  | oxford             | oxford
4245  | oxygen             | oxy
4246  | oyster             | hau
4247  | ozone              | ozone
4248  | pace               | toc do
4249  | pacemaker          | giu nhip
4250  | pack               | goi
4251  | package            | goi
4252  | packaging          | dong goi
4253  | packet             | goi
4254  | pad                | mieng
4255  | paddle             | cheo
4256  | paddock            | bai
4257  | pagan              | pagan
4258  | page               | trang
4259  | pagoda             | chua
4260  | pail               | thung
4261  | pain               | dau
4262  | paint              | son
4263  | painter            | hoa si
4264  | painting           | buc tranh
4265  | paintwork          | son
4266  | pair               | cap
4267  | pajamas            | pajama
4268  | palace             | palace
4269  | palate             | vom mieng
4270  | palm               | palm
4271  | pamphlet           | cuon sach nho
4272  | pan                | pan
4273  | pancake            | banh
4274  | pancreas           | tuy
4275  | panda              | gau truc
4276  | panel              | bang dieu khien
4277  | panic              | hoang loan
4278  | pannier            | thung
4279  | panpipe            | panpipe
4280  | pansy              | pansy
4281  | panther            | panther
4282  | panties            | quan lot
4283  | pantologist        | pantologist
4284  | pantology          | pantology
4285  | pantry             | phong dung thuc an
4286  | pants              | quan
4287  | pantsuit           | nu lam chu
4288  | panty              | quan lot
4289  | pantyhose          | tat
4290  | papa               | papa
4291  | papaya             | du du
4292  | paper              | giay
4293  | paperback          | bia mem
4294  | paperwork          | giay to
4295  | parable            | an du
4296  | parachute          | du
4297  | parade             | cuoc dieu hanh
4298  | paradise           | thien duong
4299  | paragraph          | doan
4300  | parallelogram      | binh hanh
4301  | paramecium         | paramecium
4302  | paramedic          | paramedic
4303  | parameter          | tham so
4304  | paranoia           | hoang tuong
4305  | parcel             | buu kien
4306  | parchment          | giay da
4307  | pard               | muon chet, anh ban
4308  | pardon             | thu loi
4309  | parent             | phu huynh
4310  | parenthesis        | ngoac
4311  | parenting          | cha me
4312  | park               | park
4313  | parka              | parka
4314  | parking            | bai dau xe
4315  | parliament         | quoc hoi
4316  | parole             | tam tha
4317  | parrot             | con vet
4318  | parser             | cu
4319  | parsley            | rau mui tay
4320  | parsnip            | cu cai, cu cai
4321  | part               | phan
4322  | participant        | nguoi tham gia
4323  | participation      | tham gia
4324  | particle           | hat
4325  | particular         | dac biet
4326  | partner            | doi tac
4327  | partnership        | quan he doi tac
4328  | partridge          | partridge
4329  | party              | bua tiec
4330  | pass               | vuot qua
4331  | passage            | doan
4332  | passbook           | so tiet kiem
4333  | passenger          | hanh khach
4334  | passing            | di qua
4335  | passion            | niem dam me
4336  | passive            | thu dong
4337  | passport           | ho chieu
4338  | password           | mat khau
4339  | past               | trong qua khu
4340  | pasta              | mi
4341  | paste              | dan
4342  | pastor             | muc su
4343  | pastoralist        | pastoralist
4344  | pastry             | banh ngot
4345  | pasture            | dong co
4346  | pat                | pat
4347  | patch              | va
4348  | pate               | pate
4349  | patent             | bang sang che,
4350  | patentee           | duoc cap bang
4351  | path               | con duong
4352  | pathogenesis       | benh sinh
4353  | pathology          | benh
4354  | pathway            | con duong
4355  | patience           | kien nhan
4356  | patient            | benh nhan
4357  | patina             | gi
4358  | patio              | hien
4359  | patriarch          | toc truong
4360  | patrimony          | di san
4361  | patriot            | patriot
4362  | patrol             | tuan tra
4363  | patroller          | toan tuan tra
4364  | patrolling         | tuan tra
4365  | patron             | nguoi bao tro
4366  | pattern            | mo
4367  | patty              | patty
4368  | pattypan           | pattypan
4369  | pause              | tam dung
4370  | pavement           | via he
4371  | pavilion           | pavilion
4372  | paw                | paw
4373  | pawnshop           | tiem cam do
4374  | pay                | tra tien
4375  | payee              | nguoi thu huong
4376  | payment            | thanh toan
4377  | payoff             | payoff
4378  | pea                | hat dau
4379  | peace              | hoa binh
4380  | peach              | peach
4381  | peacoat            | thuyen
4382  | peacock            | peacock
4383  | peak               | xem
4384  | peanut             | dau phong
4385  | pear               | le
4386  | pearl              | pearl
4387  | peasant            | nong dan
4388  | pecan              | pecan
4389  | pecker             | bat
4390  | pedal              | pedal
4391  | peek               | peek
4392  | peen               | dap danh
4393  | peer               | ngang nhau
4394  | peer-to-peer       | ngang hang
4395  | pegboard           | khuon
4396  | pelican            | pelican
4397  | pelt               | tam da
4398  | pen                | pen
4399  | penalty            | hinh phat
4400  | pence              | xu
4401  | pencil             | but chi
4402  | pendant            | mat day chuyen
4403  | pendulum           | lac
4404  | penguin            | chim canh cut
4405  | penicillin         | penicillin
4406  | peninsula          | peninsula
4407  | penis              | duong vat
4408  | pennant            | co hieu
4409  | penny              | penny
4410  | pension            | luong huu
4411  | pentagon           | lau nam goc
4412  | peony              | hoa mau don
4413  | people             | nguoi
4414  | pepper             | pepper
4415  | pepperoni          | pepperoni
4416  | percent            | phan tram
4417  | percentage         | ty le
4418  | perception         | nhan thuc
4419  | perch              | ca ro
4420  | perennial          | lau nam
4421  | perfection         | su hoan hao
4422  | performance        | hieu suat
4423  | perfume            | nuoc hoa
4424  | period             | khoang thoi gian
4425  | periodical         | dinh ky,
4426  | peripheral         | ngoai bien
4427  | permafrost         | lop bang vinh cuu
4428  | permission         | cho phep
